iter	Passed	Remaining
544	11372	9494
545	11385	9467
546	11400	9441
547	11415	9415
548	11427	9387
549	11440	9360
550	11453	9333
551	11466	9306
552	11479	9278
553	11492	9251
554	11504	9224
555	11518	9197
556	11530	9170
557	11543	9143
558	11557	9117
559	11571	9091
560	11584	9065
561	11597	9038
562	11610	9012
563	11623	8985
564	11635	8958
565	11648	8931
566	11660	8904
567	11673	8878
568	11686	8852
569	11699	8825
570	11712	8800
571	11725	8773
572	11737	8747
573	11751	8721
574	11764	8695
575	11777	8669
576	11805	8654
577	11818	8628
578	11833	8604
579	11846	8578
580	11860	8553
581	11874	8528
582	11887	8502
583	11900	8476
584	11913	8451
585	11925	8425
586	11939	8400
587	11951	8374
588	11964	8349
589	11977	8323
590	11991	8298
591	12004	8273
592	12017	8247
593	12029	8222
594	12042	8197
595	12055	8171
596	12068	8146
597	12081	8121
598	12094	8096
599	12108	8072
600	12121	8047
601	12134	8022
602	12146	7997
603	12159	7972
604	12172	7947
605	12185	7922
606	12199	7898
607	12211	7873
608	12224	7848
609	12237	7823
610	12250	7799
611	12263	7774
612	12275	7749
613	12288	7725
614	12300	7700
615	12314	7676
616	12326	7651
617	12340	7627
618	12353	7603
619	12366	7579
620	12379	7555
621	12392	7530
622	12406	7507
623	12418	7482
624	12431	7458
625	12443	7434
626	12458	7411
627	12472	7388
628	12485	7364
629	12498	7340
630	12516	7319
631	12540	7301
632	12562	7283
633	12578	7261
634	12591	7237
635	12604	7213
636	12616	7189
637	12629	7165
638	12642	7142
639	12655	7118
640	12668	7095
641	12682	7072
642	12703	7052
643	12741	7043
644	12759	7022
645	12778	7002
646	12797	6981
647	12811	6959
648	12824	6935
649	12837	6912
650	12849	6888
651	12861	6864
652	12874	6841
653	12886	6817
654	12900	6794
655	12912	6771
656	12925	6748
657	12938	6724
658	12951	6701
659	12964	6678
660	12977	6655
661	12991	6633
662	13004	6610
663	13017	6587
664	13030	6564
665	13044	6541
666	13058	6519
667	13070	6496
668	13083	6473
669	13096	6450
670	13109	6427
671	13122	6404
672	13134	6381
673	13146	6358
674	13159	6335
675	13172	6313
676	13185	6290
677	13198	6268
678	13211	6245
679	13224	6223
680	13237	6200
681	13249	6177
682	13262	6155
683	13274	6132
684	13287	6110
685	13300	6088
686	13314	6066
687	13326	6043
688	13339	6021
689	13352	5998
690	13364	5976
691	13378	5954
692	13391	5932
693	13404	5910
694	13417	5888
695	13431	5866
696	13445	5845
697	13458	5823
698	13471	5801
699	13484	5779
700	13497	5757
701	13510	5735
702	13522	5713
703	13536	5691
704	13549	5669
705	13562	5647
706	13575	5626
707	13588	5604
708	13601	5582
709	13614	5561
710	13628	5539
711	13643	5518
712	13657	5497
713	13670	5475
714	13683	5454
715	13695	5432
716	13707	5410
717	13720	5388
718	13733	5367
719	13746	5345
720	13758	5324
721	13772	5302
722	13786	5281
723	13798	5260
724	13811	5238
725	13824	5217
726	13837	5196
727	13850	5175
728	13864	5153
729	13877	5132
730	13891	5111
731	13904	5090
732	13917	5069
733	13930	5048
734	13943	5027
735	13955	5005
736	13969	4984
737	13982	4963
738	13995	4942
